epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,228.159,1.1831,1.44913,1.20053,1.33958,0.64733,0.65638,0.59637,0.482,0.64387,0.64997,0.59548,0.45617,1.75274,2.55511,1.87335,1.72649,0.000410409,0.000410409,0.000410409
74,231.152,1.16431,1.40824,1.12708,1.30959,0.69171,0.62045,0.61216,0.49282,0.72134,0.64035,0.61075,0.46425,1.72044,2.54648,1.85264,1.7062,0.000396262,0.000396262,0.000396262
75,234.124,1.11469,1.4552,1.19505,1.30498,0.72389,0.60762,0.61636,0.49693,0.7678,0.62792,0.62349,0.46141,1.70372,2.53626,1.83215,1.69918,0.000382115,0.000382115,0.000382115
76,237.135,1.1604,1.38772,1.15011,1.30604,0.74551,0.64035,0.62851,0.49534,0.78124,0.60284,0.62874,0.45651,1.72631,2.50493,1.78108,1.7262,0.000367967,0.000367967,0.000367967
77,240.376,1.11401,1.38008,1.09125,1.2779,0.71688,0.61315,0.63152,0.49955,0.72154,0.61155,0.61744,0.4657,1.77067,2.4971,1.80845,1.76892,0.00035382,0.00035382,0.00035382
78,243.421,1.06662,1.31584,1.06009,1.2613,0.68974,0.61643,0.62328,0.49214,0.68974,0.61643,0.61852,0.46147,1.78367,2.49262,1.82426,1.77554,0.000339673,0.000339673,0.000339673
79,246.663,1.15952,1.44343,1.14244,1.3056,0.68786,0.62511,0.62359,0.48989,0.6884,0.62489,0.62439,0.46485,1.81135,2.51162,1.82516,1.80399,0.000325526,0.000325526,0.000325526
80,249.676,1.13397,1.4189,1.10577,1.26683,0.72128,0.64276,0.62188,0.47661,0.71428,0.63967,0.62362,0.4576,1.83671,2.53902,1.82459,1.80737,0.000311379,0.000311379,0.000311379
81,252.678,1.13151,1.42399,1.13615,1.3118,0.7275,0.62446,0.62267,0.46951,0.7275,0.62446,0.62232,0.45607,1.82644,2.5575,1.82866,1.81488,0.000297232,0.000297232,0.000297232
82,255.747,1.06451,1.42493,1.08942,1.25222,0.72146,0.61725,0.60485,0.46857,0.72857,0.61582,0.60888,0.45459,1.8069,2.63909,1.90515,1.80909,0.000283085,0.000283085,0.000283085
83,258.831,1.10023,1.3547,1.05836,1.24462,0.74007,0.59864,0.60429,0.46905,0.74538,0.60218,0.60532,0.46312,1.8002,2.68849,1.93318,1.79978,0.000268938,0.000268938,0.000268938
84,261.949,1.15755,1.3592,1.1168,1.29979,0.7371,0.60248,0.60766,0.46563,0.75073,0.60879,0.60947,0.46204,1.78414,2.66873,1.92398,1.79472,0.000254791,0.000254791,0.000254791
85,264.934,1.11741,1.32442,1.12396,1.32597,0.71943,0.61529,0.61678,0.47555,0.75338,0.61575,0.61556,0.46548,1.76007,2.62164,1.87926,1.78324,0.000240644,0.000240644,0.000240644
86,267.957,1.05003,1.35025,1.06057,1.21117,0.71378,0.62696,0.62374,0.48183,0.73198,0.62019,0.62322,0.46862,1.74948,2.58164,1.84659,1.76038,0.000226497,0.000226497,0.000226497
87,271.017,1.07963,1.28483,1.02389,1.22967,0.70939,0.64466,0.62796,0.48601,0.70835,0.64299,0.62471,0.46504,1.74473,2.54306,1.83262,1.75567,0.000212349,0.000212349,0.000212349
88,274.05,1.07544,1.36779,1.00287,1.24625,0.71009,0.65913,0.63318,0.50386,0.70654,0.6557,0.62012,0.48063,1.7055,2.55293,1.79508,1.70158,0.000198202,0.000198202,0.000198202
89,277.066,1.08269,1.32254,1.052,1.25731,0.71252,0.65638,0.63325,0.50892,0.71719,0.64965,0.6201,0.47854,1.69653,2.58879,1.77847,1.6751,0.000184055,0.000184055,0.000184055
90,280.032,1.0213,1.31213,0.96579,1.22205,0.71371,0.64997,0.63313,0.51015,0.70914,0.64676,0.61889,0.48287,1.69394,2.61462,1.78914,1.6736,0.000169908,0.000169908,0.000169908
